Starting...
XleadZeroCoefficient: 1.00, XleadPoleCoefficient: 0.41, PX: 0.16, PX: 0.00, PX: 1.00 GainX = 1 GainTheta = 18
52008,1.10,2.00,0.24,4.94
52019,1.10,2.00,0.36,4.63
52029,1.10,2.00,0.49,4.95
52038,1.10,2.00,0.64,5.58
52048,1.11,2.00,0.81,6.22
52059,1.11,2.00,0.97,5.88
52069,1.11,2.00,1.14,6.23
52078,1.12,2.00,1.31,6.20
52088,1.12,2.00,1.48,6.23
52099,1.12,2.00,1.66,6.54
52109,1.11,2.00,1.82,5.95
52119,1.11,2.00,1.97,5.64
52128,1.12,2.00,2.12,5.64
52139,1.12,2.00,2.26,5.33
52149,1.13,2.00,2.38,4.69
52159,1.13,2.00,2.49,4.36
52168,1.13,2.00,2.57,3.44
52178,1.13,2.00,2.65,3.45
52189,1.13,2.00,2.70,2.50
52199,1.13,2.00,2.72,1.56
52209,1.13,2.00,2.74,1.56
52218,1.14,2.00,2.73,0.61
52229,1.15,2.00,2.70,-0.05
52239,1.14,2.00,2.64,-0.95
52249,1.15,2.00,2.57,-1.31
52258,1.13,2.00,2.47,-2.20
52269,1.16,2.00,2.35,-2.91
52279,1.15,2.00,2.23,-2.88
52289,1.16,2.00,2.08,-3.85
52299,1.12,2.00,1.92,-4.08
52308,1.15,2.00,1.75,-4.47
52319,1.16,2.00,1.57,-4.81
52329,1.17,2.00,1.40,-4.53
52339,1.18,2.00,1.22,-4.85
52349,1.17,2.00,1.03,-5.17
52359,1.17,2.00,0.84,-5.17
52369,1.18,2.00,0.67,-4.57
52379,1.18,2.00,0.51,-4.27
52389,1.18,2.00,0.35,-4.29
52399,1.19,2.00,0.21,-3.66
52409,1.17,2.00,0.08,-3.32
52419,1.18,2.00,-0.02,-2.40
52429,1.17,2.00,-0.11,-2.08
52440,1.18,2.00,-0.17,-1.15
52449,1.18,2.00,-0.22,-0.84
52459,1.16,2.00,-0.24,0.14
52469,1.18,2.00,-0.23,1.05
52480,1.18,2.00,-0.19,1.99
52489,1.16,2.00,-0.13,2.67
52499,1.18,2.00,-0.05,3.26
52509,1.18,2.00,0.05,3.90
52519,1.18,2.00,0.19,5.14
52530,1.18,2.00,0.33,5.17
52539,1.17,2.00,0.49,5.81
52549,1.18,2.00,0.67,6.45
52559,1.18,2.00,0.86,6.75
52570,1.16,2.00,1.06,7.13
52579,1.17,2.00,1.26,7.13
52589,1.16,2.00,1.47,7.46
52599,1.17,2.00,1.67,7.13
52610,1.19,2.00,1.88,7.42
52620,1.19,2.00,2.07,6.79
52629,1.20,2.00,2.26,6.81
52639,1.20,2.00,2.42,5.87
52649,1.20,2.00,2.58,5.87
52660,1.20,2.00,2.70,4.62
52670,1.21,2.00,2.82,4.62
52679,1.21,2.00,2.90,3.37
52689,1.21,2.00,2.97,3.04
52700,1.21,2.00,3.01,2.10
52710,1.21,2.00,3.02,1.16
52719,1.21,2.00,3.00,0.24
52729,1.22,2.00,2.94,-1.06
52740,1.21,2.00,2.88,-1.02
52750,1.22,2.00,2.78,-2.31
52760,1.23,2.00,2.66,-2.97
52769,1.22,2.00,2.51,-3.89
52780,1.23,2.00,2.35,-4.24
52790,1.23,2.00,2.17,-4.87
52800,1.24,2.00,1.99,-4.90
52809,1.22,2.00,1.79,-5.50
52819,1.24,2.00,1.58,-5.86
52830,1.24,2.00,1.36,-6.17
52840,1.25,2.00,1.15,-5.89
52850,1.24,2.00,0.95,-5.55
52859,1.25,2.00,0.73,-6.21
52870,1.23,2.00,0.55,-4.94
52880,1.24,2.00,0.38,-4.64
52890,1.24,2.00,0.23,-4.03
52899,1.25,2.00,0.10,-3.41
52910,1.25,2.00,-0.02,-3.11
52920,1.25,2.00,-0.11,-2.17
52930,1.25,2.00,-0.17,-1.24
52940,1.24,2.00,-0.19,0.04
52950,1.25,2.00,-0.19,0.66
52960,1.25,2.00,-0.17,1.29
52970,1.25,2.00,-0.10,2.86
52980,1.26,2.00,-0.01,3.47
52989,1.25,2.00,0.11,4.45
53000,1.25,2.00,0.26,5.40
53010,1.25,2.00,0.42,5.72
53020,1.25,2.00,0.61,6.67
53030,1.26,2.00,0.82,7.28
53040,1.25,2.00,1.05,7.96
53050,1.23,2.00,1.28,8.01
53060,1.25,2.00,1.53,8.58
53070,1.26,2.00,1.78,8.58
53080,1.26,2.00,2.03,8.61
53090,1.26,2.00,2.28,8.64
53100,1.24,2.00,2.50,7.72
53110,1.25,2.00,2.71,7.41
53121,1.25,2.00,2.90,6.79
53130,1.26,2.00,3.09,6.79
53140,1.26,2.00,3.24,5.55
53150,1.27,2.00,3.36,4.59
53160,1.25,2.00,3.45,3.68
53170,1.28,2.00,3.51,2.70
53180,1.28,2.00,3.53,1.44
53190,1.28,2.00,3.51,0.18
53200,1.29,2.00,3.46,-0.78
53211,1.29,2.00,3.38,-1.73
53220,1.29,2.00,3.26,-2.99
53230,1.30,2.00,3.11,-3.94
53240,1.30,2.00,2.93,-4.91
53251,1.30,2.00,2.74,-5.20
53261,1.28,2.00,2.51,-6.45
53270,1.29,2.00,2.26,-7.11
53280,1.30,2.00,2.00,-7.46
53291,1.30,2.00,1.72,-8.06
53301,1.31,2.00,1.44,-8.14
53310,1.30,2.00,1.15,-8.43
53320,1.29,2.00,0.88,-7.80
53330,1.32,2.00,0.62,-7.56
53341,1.31,2.00,0.37,-7.22
53351,1.31,2.00,0.13,-6.91
53360,1.33,2.00,-0.09,-6.33
53370,1.32,2.00,-0.27,-5.07
53381,1.32,2.00,-0.44,-4.78
53391,1.31,2.00,-0.58,-3.80
53400,1.32,2.00,-0.67,-2.27
53410,1.32,2.00,-0.73,-1.32
53421,1.29,2.00,-0.75,0.00
53431,1.32,2.00,-0.73,1.19
53441,1.32,2.00,-0.68,2.13
53450,1.30,2.00,-0.58,3.76
53460,1.30,2.00,-0.46,4.38
53471,1.31,2.00,-0.30,5.62
53481,1.29,2.00,-0.10,6.94
53490,1.31,2.00,0.13,7.85
53500,1.30,2.00,0.38,8.52
53511,1.31,2.00,0.65,9.14
53521,1.30,2.00,0.94,9.79
53531,1.32,2.00,1.25,10.39
53540,1.31,2.00,1.57,10.76
53551,1.32,2.00,1.87,10.13
53561,1.31,2.00,2.19,10.77
53571,1.32,2.00,2.48,9.82
53581,1.30,2.00,2.77,9.90
53591,1.32,2.00,3.02,8.60
53601,1.32,2.00,3.26,8.32
53611,1.31,2.00,3.46,7.08
53621,1.33,2.00,3.62,5.81
53630,1.33,2.00,3.75,4.86
53641,1.34,2.00,3.84,3.60
53651,1.33,2.00,3.88,2.03
53661,1.35,2.00,3.87,0.42
53671,1.34,2.00,3.81,-1.11
53681,1.35,2.00,3.71,-2.40
53691,1.34,2.00,3.57,-3.64
53701,1.34,2.00,3.38,-5.21
53711,1.34,2.00,3.15,-6.47
53721,1.35,2.00,2.88,-7.75
53731,1.36,2.00,2.58,-8.76
53741,1.36,2.00,2.25,-9.69
53751,1.37,2.00,1.89,-10.69
53762,1.35,2.00,1.53,-10.61
53771,1.35,2.00,1.16,-11.00
53781,1.38,2.00,0.78,-11.38
53791,1.37,2.00,0.41,-11.05
53801,1.38,2.00,0.04,-11.09
53811,1.37,2.00,-0.30,-10.15
53821,1.37,2.00,-0.63,-9.85
53831,1.35,2.00,-0.93,-8.88
53841,1.38,2.00,-1.20,-7.99
53852,1.36,2.00,-1.43,-6.72
53861,1.39,2.00,-1.62,-5.55
53871,1.36,2.00,-1.76,-3.91
53881,1.36,2.00,-1.85,-2.35
53892,1.37,2.00,-1.90,-1.12
53902,1.37,2.00,-1.89,0.77
53911,1.36,2.00,-1.84,2.05
53921,1.34,2.00,-1.74,3.67
53932,1.36,2.00,-1.58,5.52
53942,1.36,2.00,-1.37,7.11
53951,1.36,2.00,-1.13,8.07
53961,1.36,2.00,-0.84,9.62
