XleadZeroCoefficient: 1.00, XleadPoleCoefficient: 0.41, PX: 0.16, PX: 0.00, PX: 1.00
12029,1.36,2.00,0.68,0.73
12040,1.36,2.00,0.69,0.57
12049,1.37,2.00,0.70,0.56
12059,1.35,2.00,0.69,0.31
12069,1.38,2.00,0.69,0.39
12080,1.38,2.00,0.66,-0.08
12089,1.38,2.00,0.62,-0.23
12099,1.39,2.00,0.60,0.07
12109,1.39,2.00,0.56,-0.24
12120,1.38,2.00,0.51,-0.37
12130,1.40,2.00,0.46,-0.41
12139,1.41,2.00,0.40,-0.59
12149,1.41,2.00,0.35,-0.42
12160,1.42,2.00,0.30,-0.44
12170,1.40,2.00,0.24,-0.54
12179,1.43,2.00,0.19,-0.45
12189,1.42,2.00,0.15,-0.27
12199,1.43,2.00,0.10,-0.46
12210,1.44,2.00,0.06,-0.30
12220,1.42,2.00,0.02,-0.26
12229,1.44,2.00,-0.00,0.00
12239,1.45,2.00,-0.01,0.15
12250,1.45,2.00,-0.03,0.01
12260,1.45,2.00,-0.03,0.31
12269,1.46,2.00,-0.02,0.45
12279,1.46,2.00,-0.00,0.61
12290,1.46,2.00,0.01,0.45
12300,1.47,2.00,0.04,0.75
12310,1.47,2.00,0.09,1.07
12319,1.47,2.00,0.13,0.92
12329,1.46,2.00,0.18,1.12
12340,1.47,2.00,0.24,1.25
12350,1.47,2.00,0.30,1.26
12359,1.48,2.00,0.36,1.24
12369,1.49,2.00,0.44,1.54
12380,1.49,2.00,0.51,1.39
12390,1.48,2.00,0.57,1.26
12400,1.50,2.00,0.64,1.38
12409,1.50,2.00,0.70,1.24
12420,1.51,2.00,0.77,1.38
12430,1.51,2.00,0.83,1.22
12440,1.52,2.00,0.89,1.22
12449,1.52,2.00,0.94,1.07
12460,1.52,2.00,0.98,0.90
12470,1.53,2.00,1.02,0.90
12480,1.53,2.00,1.04,0.59
12490,1.54,2.00,1.06,0.57
12499,1.54,2.00,1.07,0.41
12510,1.54,2.00,1.07,0.26
12520,1.54,2.00,1.06,0.11
12530,1.55,2.00,1.05,0.10
12540,1.56,2.00,1.03,-0.07
12550,1.56,2.00,1.00,-0.23
12560,1.56,2.00,0.98,-0.08
12570,1.56,2.00,0.93,-0.54
12580,1.57,2.00,0.88,-0.55
12590,1.57,2.00,0.84,-0.39
12600,1.58,2.00,0.81,-0.26
12610,1.58,2.00,0.75,-0.73
12620,1.58,2.00,0.70,-0.57
12631,1.57,2.00,0.66,-0.37
12640,1.59,2.00,0.62,-0.43
12650,1.58,2.00,0.58,-0.40
12660,1.60,2.00,0.55,-0.28
12670,1.59,2.00,0.52,-0.27
12680,1.59,2.00,0.50,-0.11
12690,1.60,2.00,0.49,0.04
12700,1.59,2.00,0.47,-0.08
12710,1.61,2.00,0.47,0.18
12721,1.61,2.00,0.47,0.18
12730,1.60,2.00,0.48,0.37
12740,1.61,2.00,0.50,0.51
12750,1.62,2.00,0.52,0.49
12761,1.61,2.00,0.56,0.83
12771,1.63,2.00,0.59,0.65
12780,1.62,2.00,0.62,0.67
12790,1.62,2.00,0.66,0.84
12801,1.63,2.00,0.71,0.98
12811,1.64,2.00,0.75,0.80
12820,1.65,2.00,0.80,0.93
12830,1.64,2.00,0.86,1.13
12840,1.64,2.00,0.89,0.66
12851,1.65,2.00,0.93,0.80
12861,1.64,2.00,0.98,0.98
